"","Year","Land_Ocean_Temp","CO2_Concentration","N2O_Concentration","CH4_Concentration","Year1","Entity","Population","GDP_PerCap","GDP_Rank","CO2_Share","CO2_Share_Rank","Year2","Entity1","CO2_Emissions","CO2_PerCap","CO2_PerCapRank","N2O_Emissions","N2O_PerCap","N2O_PerCapRank","Year3","Entity2","CH4_Emissions","CH4_PerCap","CH4_PerCapRank"
"24","1978",14.02,335.4,298.82,1532.77,"1978","Afghanistan",1334.1,247.35,"Very Low",0.0116,"Less Than 0.5%","1978","Afghanistan",215.541966,0.16156357544412,"Very Low",327.2918,0.245327786522749,"Very Low","1978","Afghanistan",1038.01,0.778060115433626,"Low"
"25","1979",14.13,336.84,300.04,1549.53,"1979","Afghanistan",1341.1,275.74,"Very Low",0.0114,"Less Than 0.5%","1979","Afghanistan",223.490394,0.166647076280665,"Very Low",321.4545,0.239694653642532,"Very Low","1979","Afghanistan",1017.62,0.758795019014242,"Very Low"
"26","1980",14.18,338.75,300.65,1566.28,"1980","Afghanistan",1335.7,272.66,"Very Low",0.0091,"Less Than 0.5%","1980","Afghanistan",175.702197,0.131543158643408,"Very Low",327.5026,0.245191734670959,"Very Low","1980","Afghanistan",1037.66,0.776866062738639,"Very Low"
"27","1981",14.22,340.11,301.23,1583.48,"1981","Afghanistan",1317.2,264.11,"Very Low",0.0105,"Less Than 0.5%","1981","Afghanistan",197.937253,0.150271221530519,"Very Low",325.6705,0.247244533859702,"Very Low","1981","Afghanistan",1030.48,0.78232614637109,"Low"
"28","1982",14.09,341.45,303.56,1600.69,"1982","Afghanistan",1288.3,NA,NA,0.0113,"Less Than 0.5%","1982","Afghanistan",209.553937,0.162659269580067,"Very Low",332.7323,0.258272374446946,"Very Low","1982","Afghanistan",1025.98,0.79638283008616,"Low"
"29","1983",14.26,343.05,303.78,1617.89,"1983","Afghanistan",1253.8,NA,NA,0.0136,"Less Than 0.5%","1983","Afghanistan",252.009142,0.200996284893922,"Very Low",318.866,0.254319668208646,"Very Low","1983","Afghanistan",985.804,0.786252990907641,"Low"
"30","1984",14.07,344.65,304.02,1635.09,"1984","Afghanistan",1220.4,NA,NA,0.0147,"Less Than 0.5%","1984","Afghanistan",282.241506,0.231269670599803,"Very Low",306.215209999999,0.250913806948541,"Very Low","1984","Afghanistan",905.465,0.741941166830547,"Low"
"31","1985",14.06,346.12,304.54,1652.29,"1985","Afghanistan",1193.8,NA,NA,0.0177,"Less Than 0.5%","1985","Afghanistan",350.189365,0.293340061149271,"Very Low",286.25369,0.239783623722567,"Very Low","1985","Afghanistan",830.870999999999,0.695988440274752,"Very Low"
"32","1986",14.14,347.42,305.37,1669.49,"1986","Afghanistan",1173.6,NA,NA,0.0154,"Less Than 0.5%","1986","Afghanistan",313.407192,0.267047709611452,"Very Low",251.69024,0.214459986366735,"Very Low","1986","Afghanistan",741.509,0.63182430129516,"Very Low"
"33","1987",14.28,349.19,305.55,1680.66,"1987","Afghanistan",1160.5,NA,NA,0.0149,"Less Than 0.5%","1987","Afghanistan",311.41599,0.268346393795778,"Very Low",267.71073,0.230685678586816,"Very Low","1987","Afghanistan",748.519,0.644996984058595,"Very Low"
"34","1988",14.29,351.57,306.49,1698.83,"1988","Afghanistan",1161.8,NA,NA,0.0132,"Less Than 0.5%","1988","Afghanistan",285.70839,0.245918738164917,"Very Low",277.20448,0.238599139266655,"Very Low","1988","Afghanistan",792.027,0.681724048889654,"Very Low"
"35","1989",14.19,353.12,307.48,1710.52,"1989","Afghanistan",1186.9,NA,NA,0.0125,"Less Than 0.5%","1989","Afghanistan",276.488789,0.232950365658438,"Very Low",277.1307,0.233491195551437,"Very Low","1989","Afghanistan",746.504,0.628952734012975,"Very Low"
"36","1990",14.35,354.39,308.78,1709.33,"1990","Afghanistan",1241.2,NA,NA,0.0117,"Less Than 0.5%","1990","Afghanistan",260.240759,0.209668674669674,"Very Low",274.81965,0.221414477924589,"Very Low","1990","Afghanistan",762.758,0.614532710280374,"Very Low"
"37","1991",14.29,355.61,309.57,1729.07,"1991","Afghanistan",1329.9,NA,NA,0.0108,"Less Than 0.5%","1991","Afghanistan",242.648616,0.182456286938868,"Very Low",275.58938,0.207225641025641,"Very Low","1991","Afghanistan",770.208,0.579147304308595,"Very Low"
"38","1992",14.14,356.45,310,1731.05,"1992","Afghanistan",1448.6,NA,NA,0.0062,"Less Than 0.5%","1992","Afghanistan",138.152184,0.0953694491232915,"Very Low",271.90131,0.187699371807262,"Very Low","1992","Afghanistan",738.553,0.509839155046252,"Very Low"
"39","1993",14.18,357.1,310.25,1735.65,"1993","Afghanistan",1581.7,NA,NA,0.006,"Less Than 0.5%","1993","Afghanistan",133.383711,0.0843293361572991,"Very Low",276.66508,0.17491627995195,"Very Low","1993","Afghanistan",747.489,0.472585825377758,"Very Low"
"40","1994",14.24,358.83,310.98,1741.66,"1994","Afghanistan",1707.6,NA,NA,0.0057,"Less Than 0.5%","1994","Afghanistan",128.248838,0.0751047306160693,"Very Low",259.44272,0.151934129772781,"Very Low","1994","Afghanistan",766.693,0.448988639025533,"Very Low"
"41","1995",14.37,360.82,311.78,1747.1,"1995","Afghanistan",1811.1,NA,NA,0.0054,"Less Than 0.5%","1995","Afghanistan",123.113965,0.0679774529291591,"Very Low",273.51424,0.151021059024902,"Very Low","1995","Afghanistan",788.584,0.435417149798465,"Very Low"
"42","1996",14.22,362.61,312.81,1749.86,"1996","Afghanistan",1885.3,NA,NA,0.005,"Less Than 0.5%","1996","Afghanistan",116.513492,0.0618010353789848,"Very Low",294.88068,0.156410481090543,"Very Low","1996","Afghanistan",861.168,0.456780353259428,"Very Low"
"43","1997",14.41,363.73,313.53,1753.94,"1997","Afghanistan",1935.7,NA,NA,0.0045,"Less Than 0.5%","1997","Afghanistan",108.447419,0.0560249103683422,"Very Low",317.7996,0.164178126775843,"Very Low","1997","Afghanistan",921.36,0.475982848581908,"Very Low"
"44","1998",14.55,366.7,314.2,1762.43,"1998","Afghanistan",1973.8,NA,NA,0.0043,"Less Than 0.5%","1998","Afghanistan",102.946147,0.0521563213091499,"Very Low",333.2996,0.168861890769075,"Very Low","1998","Afghanistan",970.017,0.491446448475023,"Very Low"
"45","1999",14.34,368.38,315.15,1772.33,"1999","Afghanistan",2017.1,NA,NA,0.0034,"Less Than 0.5%","1999","Afghanistan",80.956874,0.040135280352982,"Very Low",360.0557,0.178501660800159,"Very Low","1999","Afghanistan",1030.59,0.510926577760151,"Very Low"
"46","2000",14.33,369.55,316.14,1774.07,"2000","Afghanistan",2078,NA,NA,0.0031,"Less Than 0.5%","2000","Afghanistan",76.819525,0.036968010105871,"Very Low",331.6566,0.15960375360924,"Very Low","2000","Afghanistan",938.418,0.451596727622714,"Very Low"
"47","2001",14.47,371.14,316.89,1772.95,"2001","Afghanistan",2160.7,NA,NA,0.0032,"Less Than 0.5%","2001","Afghanistan",81.207437,0.0375838556949137,"Very Low",305.8894,0.141569583931133,"Very Low","2001","Afghanistan",866.65,0.401096866756144,"Very Low"
"48","2002",14.52,373.28,317.47,1773.14,"2002","Afghanistan",2260.1,179.43,"Very Low",0.0042,"Less Than 0.5%","2002","Afghanistan",106.407485,0.0470808747400557,"Very Low",337.466,0.149314632095925,"Very Low","2002","Afghanistan",992.943,0.439335870094244,"Very Low"
"49","2003",14.54,375.8,318.21,1777.41,"2003","Afghanistan",2368.1,190.68,"Very Low",0.0044,"Less Than 0.5%","2003","Afghanistan",118.707059,0.0501275533127824,"Very Low",333.7088,0.140918373379503,"Very Low","2003","Afghanistan",1035.06,0.437084582576749,"Very Low"
"50","2004",14.48,377.52,318.93,1775.44,"2004","Afghanistan",2472.7,211.38,"Very Low",0.0033,"Less Than 0.5%","2004","Afghanistan",94.145562,0.0380739928013912,"Very Low",335.2371,0.13557532252194,"Very Low","2004","Afghanistan",1052.14,0.425502487159785,"Very Low"
"51","2005",14.57,379.8,319.6,1774.55,"2005","Afghanistan",2565.4,242.03,"Very Low",0.0045,"Less Than 0.5%","2005","Afghanistan",132.025012,0.0514637140406954,"Very Low",341.1736,0.132990410852109,"Very Low","2005","Afghanistan",1069.87,0.417038278631013,"Very Low"
"52","2006",14.54,381.9,320.37,1776.4,"2006","Afghanistan",2643.3,263.73,"Very Low",0.0054,"Less Than 0.5%","2006","Afghanistan",164.3246,0.0621664585934249,"Very Low",342.612,0.129615253660197,"Very Low","2006","Afghanistan",1086.99,0.411224605606628,"Very Low"
"53","2007",14.52,383.79,321.14,1781.75,"2007","Afghanistan",2710.1,359.69,"Very Low",0.0073,"Less Than 0.5%","2007","Afghanistan",226.83431,0.0836996088705214,"Very Low",347.0357,0.128052728681598,"Very Low","2007","Afghanistan",1104.97,0.407722962252315,"Very Low"
"54","2008",14.44,385.6,322.11,1789.94,"2008","Afghanistan",2772.2,364.66,"Very Low",0.0132,"Less Than 0.5%","2008","Afghanistan",419.832964,0.151443966524782,"Very Low",349.7234,0.126153740711348,"Very Low","2008","Afghanistan",1122.44,0.404891421975326,"Very Low"
"55","2009",14.55,387.43,322.88,1793.63,"2009","Afghanistan",2839.5,438.08,"Very Low",0.0214,"Less Than 0.5%","2009","Afghanistan",676.031349,0.23808112308505,"Very Low",334.1149,0.117666807536538,"Very Low","2009","Afghanistan",1149.73,0.404905793273464,"Very Low"
"56","2010",14.62,389.9,323.7,1796.84,"2010","Afghanistan",2918.6,543.3,"Very Low",0.0256,"Less Than 0.5%","2010","Afghanistan",845.222414,0.289598579455904,"Very Low",335.6556,0.115005687658466,"Very Low","2010","Afghanistan",1349.33,0.46232097581032,"Very Low"
"57","2011",14.48,391.65,324.61,1803.42,"2011","Afghanistan",3011.7,591.16,"Very Low",0.0356,"Less Than 0.5%","2011","Afghanistan",1222.601738,0.405950704917488,"Very Low",339.012156,0.112565048311585,"Very Low","2011","Afghanistan",1362.8233,0.452509645715045,"Very Low"
"58","2012",14.54,393.85,325.58,1810.33,"2012","Afghanistan",3116.1,641.87,"Very Low",0.0308,"Less Than 0.5%","2012","Afghanistan",1074.205672,0.344727599242643,"Very Low",342.368712,0.109870900163666,"Very Low","2012","Afghanistan",1376.3166,0.441679214402619,"Very Low"
"59","2013",14.57,396.52,326.53,1815.44,"2013","Afghanistan",3227,637.17,"Very Low",0.0284,"Less Than 0.5%","2013","Afghanistan",1000.041429,0.309898180663155,"Very Low",NA,NA,NA,"2013","Afghanistan",NA,NA,NA
"60","2014",14.64,398.65,327.61,1824.4,"2014","Afghanistan",3337.1,613.86,"Very Low",0.0276,"Less Than 0.5%","2014","Afghanistan",978.918557,0.293344088280243,"Very Low",NA,NA,NA,"2014","Afghanistan",NA,NA,NA
"61","2015",14.83,400.83,328.51,1834.63,"2015","Afghanistan",3441.4,578.47,"Very Low",0.0285,"Less Than 0.5%","2015","Afghanistan",1010.742868,0.293701071656884,"Very Low",NA,NA,NA,"2015","Afghanistan",NA,NA,NA
"62","2016",14.89,404.24,329.29,1842.4,"2016","Afghanistan",3538.3,547.23,"Very Low",0.0344,"Less Than 0.5%","2016","Afghanistan",1225.790769,0.346434945877964,"Very Low",NA,NA,NA,"2016","Afghanistan",NA,NA,NA
"63","2017",14.81,406.55,NA,1849.63,"2017","Afghanistan",3629.6,556.3,"Very Low",0.036,"Less Than 0.5%","2017","Afghanistan",1301.473966,0.358572285100287,"Very Low",NA,NA,NA,"2017","Afghanistan",NA,NA,NA
"64","1955",13.77,314.71,290.1,1207.03,"1955","Albania",142,NA,NA,0.0091,"Less Than 0.5%","1955","Albania",66.3184,0.467030985915493,"Low",NA,NA,NA,"1955","Albania",NA,NA,NA
"65","1956",13.72,315.34,NA,NA,"1956","Albania",145.9,NA,NA,0.0109,"Less Than 0.5%","1956","Albania",83.9056,0.575089787525703,"Low",NA,NA,NA,"1956","Albania",NA,NA,NA
"66","1957",13.97,315.34,NA,NA,"1957","Albania",150,NA,NA,0.0189,"Less Than 0.5%","1957","Albania",150.5904,1.003936,"High",NA,NA,NA,"1957","Albania",NA,NA,NA
"67","1958",14.03,315.34,NA,NA,"1958","Albania",154.3,NA,NA,0.0146,"Less Than 0.5%","1958","Albania",120.1792,0.778867141931303,"Low",NA,NA,NA,"1958","Albania",NA,NA,NA
"68","1959",13.98,315.97,NA,NA,"1959","Albania",158.9,NA,NA,0.0161,"Less Than 0.5%","1959","Albania",144.3616,0.908505978602895,"Low",NA,NA,NA,"1959","Albania",NA,NA,NA
"69","1960",13.95,316.91,291.4,1262.97,"1960","Albania",163.6,NA,NA,0.0215,"Less Than 0.5%","1960","Albania",202.2528,1.23626405867971,"High",NA,NA,NA,"1960","Albania",NA,NA,NA
"70","1961",14,317.64,NA,NA,"1961","Albania",168.6,NA,NA,0.0241,"Less Than 0.5%","1961","Albania",227.9008,1.35172479240807,"High",NA,NA,NA,"1961","Albania",NA,NA,NA
"71","1962",14.01,318.45,NA,NA,"1962","Albania",173.8,NA,NA,0.025,"Less Than 0.5%","1962","Albania",246.2208,1.41669044879171,"High",NA,NA,NA,"1962","Albania",NA,NA,NA
"72","1963",14.02,318.99,NA,NA,"1963","Albania",179.1,NA,NA,0.0201,"Less Than 0.5%","1963","Albania",208.1152,1.16200558347292,"Low",NA,NA,NA,"1963","Albania",NA,NA,NA
"73","1964",13.76,319.62,NA,NA,"1964","Albania",184.4,NA,NA,0.0184,"Less Than 0.5%","1964","Albania",201.52,1.09284164859002,"Low",NA,NA,NA,"1964","Albania",NA,NA,NA
"74","1965",13.83,320.04,292.9,1328.47,"1965","Albania",189.6,NA,NA,0.0189,"Less Than 0.5%","1965","Albania",217.2752,1.14596624472574,"Low",NA,NA,NA,"1965","Albania",NA,NA,NA
"75","1966",13.89,321.38,NA,NA,"1966","Albania",194.8,NA,NA,0.0212,"Less Than 0.5%","1966","Albania",255.0144,1.30910882956879,"Low",NA,NA,NA,"1966","Albania",NA,NA,NA
"76","1967",13.9,322.16,NA,NA,"1967","Albania",199.9,NA,NA,0.0215,"Less Than 0.5%","1967","Albania",267.8384,1.33986193096548,"Low",NA,NA,NA,"1967","Albania",NA,NA,NA
"77","1968",13.87,323.04,NA,NA,"1968","Albania",204.9,NA,NA,0.0235,"Less Than 0.5%","1968","Albania",307.0432,1.49850268423621,"Low",NA,NA,NA,"1968","Albania",NA,NA,NA
"78","1969",14.01,324.62,NA,NA,"1969","Albania",210,NA,NA,0.0234,"Less Than 0.5%","1969","Albania",324.264,1.54411428571429,"Low",NA,NA,NA,"1969","Albania",NA,NA,NA
"79","1970",13.96,325.68,294.9,1403.19,"1970","Albania",215.1,NA,NA,0.0252,"Less Than 0.5%","1970","Albania",374.0944,1.7391650395165,"Low",74.18982,0.344908507670851,"Low","1970","Albania",176.364,0.819916317991632,"Low"
"80","1971",13.83,326.32,NA,NA,"1971","Albania",220.2,NA,NA,0.0282,"Less Than 0.5%","1971","Albania",434.9168,1.97509900090827,"Low",75.60311,0.343338374205268,"Low","1971","Albania",171.747,0.779959128065395,"Low"
"81","1972",13.94,327.45,NA,NA,"1972","Albania",225.4,NA,NA,0.0352,"Less Than 0.5%","1972","Albania",563.8896,2.50172848269743,"High",75.68061,0.335761357586513,"Low","1972","Albania",173.708,0.770665483584738,"Very Low"
"82","1973",14.09,329.68,NA,NA,"1973","Albania",230.6,NA,NA,0.0313,"Less Than 0.5%","1973","Albania",528.7152,2.29278057241977,"Low",80.36471,0.3485026452732,"Low","1973","Albania",179.407,0.778000867302689,"Very Low"
"83","1974",13.84,330.18,NA,NA,"1974","Albania",235.9,NA,NA,0.0257,"Less Than 0.5%","1974","Albania",434.184,1.8405426027978,"Low",81.9494299999999,0.347390546841882,"Low","1974","Albania",181.536,0.769546417973718,"Very Low"
"84","1975",13.91,331.11,297.4,1483.57,"1975","Albania",241.2,NA,NA,0.0273,"Less Than 0.5%","1975","Albania",459.0992,1.90339635157546,"Low",81.8462,0.339329187396352,"Low","1975","Albania",186.483,0.773146766169154,"Very Low"
"85","1976",13.83,332.04,NA,NA,"1976","Albania",246.5,NA,NA,0.0278,"Less Than 0.5%","1976","Albania",494.64,2.00665314401623,"Low",92.5238399999999,0.375350263691683,"Low","1976","Albania",194.317,0.788304259634888,"Low"
"86","1977",14.11,333.83,NA,NA,"1977","Albania",251.9,NA,NA,0.0311,"Less Than 0.5%","1977","Albania",571.584,2.26909090909091,"Low",100.71559,0.399823699880905,"Low","1977","Albania",200.21,0.794799523620484,"Low"
"87","1978",14.02,335.4,298.82,1532.77,"1978","Albania",257.3,NA,NA,0.035,"Less Than 0.5%","1978","Albania",648.8944,2.52193703847649,"Low",120.77662,0.4694,"Low","1978","Albania",211.328,0.821329187718616,"Low"
"88","1979",14.13,336.84,300.04,1549.53,"1979","Albania",262.8,NA,NA,0.0387,"Less Than 0.5%","1979","Albania",758.0816,2.88463318112633,"High",122.99033,0.467999733637747,"Low","1979","Albania",218.2,0.830289193302892,"Low"
"89","1980",14.18,338.75,300.65,1566.28,"1980","Albania",268.3,NA,NA,0.0266,"Less Than 0.5%","1980","Albania",516.624,1.9255460305628,"Low",123.99442,0.462148415952292,"Low","1980","Albania",222.841,0.830566530003727,"Low"
"90","1981",14.22,340.11,301.23,1583.48,"1981","Albania",273.7,NA,NA,0.039,"Less Than 0.5%","1981","Albania",733.5328,2.68006138107417,"Low",128.78175,0.470521556448667,"Low","1981","Albania",223.55,0.816770186335404,"Low"
"91","1982",14.09,341.45,303.56,1600.69,"1982","Albania",279,NA,NA,0.0392,"Less Than 0.5%","1982","Albania",730.2352,2.61733046594982,"High",125.466609999999,0.449701111111107,"Low","1982","Albania",224.535,0.804784946236559,"Low"
"92","1983",14.26,343.05,303.78,1617.89,"1983","Albania",284.5,NA,NA,0.0411,"Less Than 0.5%","1983","Albania",762.4784,2.68006467486819,"Low",148.11087,0.520600597539543,"Low","1983","Albania",230.681,0.810829525483304,"Low"
"93","1984",14.07,344.65,304.02,1635.09,"1984","Albania",290.4,639.48,"Very Low",0.0407,"Less Than 0.5%","1984","Albania",781.8976,2.69248484848485,"Low",146.35875,0.503990185950413,"Low","1984","Albania",232.729,0.801408402203857,"Low"
"94","1985",14.06,346.12,304.54,1652.29,"1985","Albania",297,639.87,"Very Low",0.0398,"Less Than 0.5%","1985","Albania",787.3936,2.6511569023569,"Low",146.76981,0.494174444444444,"High","1985","Albania",228.899,0.770703703703704,"Low"
"95","1986",14.14,347.42,305.37,1669.49,"1986","Albania",304.4,693.87,"Very Low",0.0395,"Less Than 0.5%","1986","Albania",804.9808,2.64448357424442,"Low",154.2715,0.506805190538765,"Low","1986","Albania",236.858,0.77811432325887,"Low"
"96","1987",14.28,349.19,305.55,1680.66,"1987","Albania",312.5,674.79,"Very Low",0.0356,"Less Than 0.5%","1987","Albania",743.792,2.3801344,"Low",148.77582,0.476082624,"Low","1987","Albania",249.697,0.7990304,"Low"
"97","1988",14.29,351.57,306.49,1698.83,"1988","Albania",320.1,652.77,"Very Low",0.0338,"Less Than 0.5%","1988","Albania",732.0672,2.28699531396439,"Low",154.45967,0.48253567635114,"High","1988","Albania",260.635,0.814229928147454,"Low"
"98","1989",14.19,353.12,307.48,1710.52,"1989","Albania",325.8,698,"Very Low",0.0405,"Less Than 0.5%","1989","Albania",897.68,2.75531000613874,"Low",169.46119,0.520138704726826,"High","1989","Albania",264.833,0.812869858809085,"Low"
"99","1990",14.35,354.39,308.78,1709.33,"1990","Albania",328.6,617.23,"Very Low",0.0248,"Less Than 0.5%","1990","Albania",551.0656,1.67701034692635,"Low",156.01153,0.47477641509434,"Low","1990","Albania",254.696,0.775094339622641,"Low"
"100","1991",14.29,355.61,309.57,1729.07,"1991","Albania",328,336.59,"Very Low",0.0191,"Less Than 0.5%","1991","Albania",428.3216,1.30585853658537,"Low",100.62941,0.306796981707317,"Low","1991","Albania",239.749,0.730942073170732,"Low"
"101","1992",14.14,356.45,310,1731.05,"1992","Albania",324.6,200.85,"Very Low",0.0113,"Less Than 0.5%","1992","Albania",251.3504,0.77433887861984,"Low",101.236389999999,0.311880437461488,"Low","1992","Albania",226.897,0.699004929143561,"Low"
"102","1993",14.18,357.1,310.25,1735.65,"1993","Albania",319.5,367.28,"Very Low",0.0105,"Less Than 0.5%","1993","Albania",233.3968,0.73050641627543,"Low",93.35929,0.292204350547731,"Low","1993","Albania",234.44,0.73377151799687,"Low"
"103","1994",14.24,358.83,310.98,1741.66,"1994","Albania",314.7,586.42,"Very Low",0.0085,"Less Than 0.5%","1994","Albania",192.36,0.611248808388942,"Very Low",106.95713,0.339870130282809,"Low","1994","Albania",278.396,0.884639339053066,"Low"
"104","1995",14.37,360.82,311.78,1747.1,"1995","Albania",311.3,750.6,"Very Low",0.0091,"Less Than 0.5%","1995","Albania",208.4816,0.669712817218118,"Very Low",98.2306299999999,0.315549726951493,"Low","1995","Albania",276.873,0.889408930292322,"Low"
"105","1996",14.22,362.61,312.81,1749.86,"1996","Albania",309.9,1009.98,"Very Low",0.0086,"Less Than 0.5%","1996","Albania",201.52,0.65027428202646,"Very Low",90.08941,0.290704775734108,"Low","1996","Albania",261.841,0.844920942239432,"Low"
"106","1997",14.41,363.73,313.53,1753.94,"1997","Albania",310,717.38,"Very Low",0.0065,"Less Than 0.5%","1997","Albania",154.2544,0.497594838709677,"Very Low",84.8842,0.27382,"Very Low","1997","Albania",245.846,0.793051612903226,"Low"
"107","1998",14.55,366.7,314.2,1762.43,"1998","Albania",311.1,813.79,"Very Low",0.0073,"Less Than 0.5%","1998","Albania",175.1392,0.562967534554806,"Very Low",93.03255,0.29904387656702,"Low","1998","Albania",237.149,0.762291867566699,"Low"
